"method","tau","n","model","beta_ci_same","infin","na","skip_beta","skip_int","nsims_beta","nsims_int","bias","bias_se","empSE","empSE_se","cov","cov_se","cov_be","cov_be_se","intwidth_empSE","intwidth_empSE_se","empSE_rel","empSE_rel_se"
"riid_nodith","0.1","n = 100",3,NA,0.016,0,0,0.016,1000,984,-0.120396862970529,0.0864679576936318,2.73435690934957,0.0611726732275422,0.919715447154472,0.00866253869522453,0.919715447154472,0.00866253869522453,3.82393224482029,0.0862419230091818,0,0
"riid_nodith","0.1","n = 100",4,0.009,0,0,0,0,1000,1000,0.00101038666785423,0.0263649153900162,0.833731829500778,0.0186521388598038,0.911,0.00900438781928011,0.911,0.00900438781928011,1.26560106134058,0.0283138605268008,0,0
"riid_nodith","0.1","n = 100",5,0.004,0,0,0,0,1000,1000,0.0711344409369004,0.0425809769231744,1.346528720723,0.0301243634810944,0.891,0.00985489725973843,0.887,0.0100115433375679,1.77755084983155,0.0397671338771759,0,0
"riid_nodith","0.1","n = 100",6,NA,0.004,0,0,0.004,1000,996,0.0207757827723008,0.0271652178377292,0.859039615018587,0.019218321309615,0.928714859437751,0.00815287968055532,0.927710843373494,0.00820565448473343,1.3821510023468,0.0309833915088566,0,0
"riid_nodith","0.1","n = 100",7,NA,0.002,0,0,0.002,1000,998,0.0707698036961383,0.0414448131090581,1.31060006624628,0.0293205723475031,0.907815631262525,0.00915718947801238,0.909819639278557,0.00906709919639506,2.12684897070757,0.0476292863567835,0,0
"riid_nodith","0.1","n = 250",1,NA,0.01,0,0,0.01,1000,990,0.007,0.0371393366975008,1.17444894751978,0.0262746174222547,0.953535353535354,0.00668978439458418,0.953535353535354,0.00668978439458418,1.69319930103081,0.0380710571938852,0,0
"riid_nodith","0.1","n = 250",2,NA,0.008,0,0,0.008,1000,992,0.0127757827723,0.0373766372619717,1.1819530502575,0.026442498221967,0.953629032258065,0.00667662486963364,0.953629032258065,0.00667662486963364,1.68187352540354,0.0377782215561048,0,0
"riid_nodith","0.1","n = 250",3,0.017,0,0,0,0,1000,1000,-0.0693968629705289,0.0534037073240796,1.68877350641107,0.0377810188237604,0.957,0.00641490451994416,0.957,0.00641490451994416,2.05895926823816,0.0460627660105693,0,0
"riid_nodith","0.1","n = 250",4,0.029,0,0,0,0,1000,1000,0.026453065016456,0.0168597111478883,0.53315087919859,0.0119275813638938,0.914,0.00886588969026797,0.914,0.00886588969026797,0.641352749522078,0.0143482593789969,0,0
"riid_nodith","0.1","n = 250",5,0.006,0,0,0,0,1000,1000,0.0432096004680642,0.0246607245788737,0.779840584193375,0.0174464910061009,0.901,0.00944452222190196,0.899,0.00952885092757778,0.967114841968887,0.0216361660758258,0,0
"riid_nodith","0.1","n = 250",6,0.026,0,0,0,0,1000,1000,0.0132757827723009,0.0183650611192655,0.580754225050803,0.0129925571577991,0.955,0.00655553201502365,0.956,0.00648567652600714,1.01118708656809,0.0226221445368135,0,0
"riid_nodith","0.1","n = 250",7,0.005,0,0,0,0,1000,1000,0.0526031370294718,0.0270358083832338,0.854947328748932,0.0191267692192967,0.947,0.00708456067798138,0.949,0.00695693898205238,1.25826792157632,0.0281498044882504,0,0
"riid_nodith","0.1","n = 500",1,NA,0.007,0,0,0.007,1000,993,-0.026,0.0267214901911933,0.84500771478019,0.0189044014825763,0.929506545820745,0.008123178522121,0.932527693856999,0.00796010913295832,2.0412893598861,0.0458282990007982,0,0
"riid_nodith","0.1","n = 500",2,NA,0.008,0,0,0.008,1000,992,0.00877578277229998,0.0279169367115261,0.882811053031936,0.0197501327950751,0.948588709677419,0.00701152346069432,0.948588709677419,0.00701152346069432,2.08411114889759,0.0468132778959765,0,0
"riid_nodith","0.1","n = 500",3,0.041,0,0,0,0,1000,1000,-0.00139686297052895,0.0418560381298556,1.32360414321198,0.0296114978474364,0.979,0.00453420334788814,0.979,0.00453420334788814,2.00511784362622,0.0448582327389141,0,0
