"method","beta","lb","ub","tau","chemical_name","transformation"
"riid_dith",-0.429211644820126,-0.774814203429551,0.245172252605742,0.1,"cadmium.t1.res","log2x"
"xy_dith",-0.429211644820126,-1.00229769366933,0.14387440402908,0.1,"cadmium.t1.res","log2x"
"bayes_unadj",-0.396442892118416,-0.797591879089856,0.00754826013859084,0.1,"cadmium.t1.res","log2x"
"bayes_adjv2",-0.396442892118416,-0.967121856517067,0.173244074552829,0.1,"cadmium.t1.res","log2x"
"riid_nodith",-9.62375511380347e-16,-0.521763645175126,0.72905615975825,0.5,"cadmium.t1.res","log2x"
"xy_nodith",-9.62375511380347e-16,-0.560173904062964,0.560173904062962,0.5,"cadmium.t1.res","log2x"
"riid_dith",-0.0145214857662649,-0.415920992120719,0.770941043915098,0.5,"cadmium.t1.res","log2x"
"xy_dith",-0.0145214857662649,-0.59990121282361,0.57085824129108,0.5,"cadmium.t1.res","log2x"
"bayes_unadj",0.0221740840785804,-0.290423647867783,0.342678817009035,0.5,"cadmium.t1.res","log2x"
"bayes_adjv2",0.0221740840785804,-0.559818385925254,0.603926446188414,0.5,"cadmium.t1.res","log2x"
"riid_nodith",0.41623432272465,-0.68687244478166,1.79890572928258,0.9,"cadmium.t1.res","log2x"
"xy_nodith",0.41623432272465,-0.709303324172912,1.54177196962221,0.9,"cadmium.t1.res","log2x"
"riid_dith",0.355934243114044,-0.631973306912093,1.92852967886462,0.9,"cadmium.t1.res","log2x"
"xy_dith",0.355934243114044,-0.714087474679442,1.42595596090753,0.9,"cadmium.t1.res","log2x"
"bayes_unadj",0.501514717004712,-0.048608929924271,1.04308898660221,0.9,"cadmium.t1.res","log2x"
"bayes_adjv2",0.501514717004712,-0.622167468683283,1.62940430785572,0.9,"cadmium.t1.res","log2x"
"riid_nodith",0.516922921570152,-0.644132092182492,1.25833565484473,0.1,"lead.t1.res","log2x"
"xy_nodith",0.516922921570152,-0.308680840628826,1.34252668376913,0.1,"lead.t1.res","log2x"
"riid_dith",0.504308006574136,-0.568687739843118,1.09064055696179,0.1,"lead.t1.res","log2x"
"xy_dith",0.504308006574136,-0.36352161913514,1.37213763228341,0.1,"lead.t1.res","log2x"
"bayes_unadj",0.508344032305732,-0.0437928985825918,1.0526906248856,0.1,"lead.t1.res","log2x"
