"method","tau","n","model","beta_ci_same","infin","na","skip_beta","skip_int","nsims_beta","nsims_int","bias","bias_se","empSE","empSE_se","cov","cov_se","cov_be","cov_be_se","intwidth_empSE","intwidth_empSE_se","empSE_rel","empSE_rel_se"
"bayes_adjv2","0.1","n = 500",5,NA,0,0.012,0.012,0.012,988,988,0.0321150843917028,0.0178296784689565,0.560430785284584,0.0126138717061735,0.868421052631579,0.0107542444298483,0.866396761133603,0.0108240161370363,0.64179384022572,0.0144451471528439,NA,NA
"bayes_adjv2","0.5","n = 100",1,0,0,0,0,0,1000,1000,0.0829289936366854,0.0374033759403719,1.18279860151118,0.0264614147834302,0.907,0.00918428004799505,0.911,0.00900438781928011,1.122744939944,0.0251179021634775,NA,NA
"bayes_adjv2","0.5","n = 100",2,0,0,0,0,0,1000,1000,0.143312000519568,0.0404600081155177,1.27945779793933,0.0286238616159261,0.889,0.00993373041711924,0.893,0.00977501918156686,1.18998164248844,0.0266221128316549,NA,NA
"bayes_adjv2","0.5","n = 100",3,NA,0,0.004,0.004,0.004,996,996,0.161190100634883,0.043352176765703,1.3681716213266,0.0306700186324741,0.896586345381526,0.00964840075897285,0.902610441767068,0.00939456564374664,1.37568643779209,0.0308384767099723,NA,NA
"bayes_adjv2","0.5","n = 100",4,0,0,0,0,0,1000,1000,0.00793034369092243,0.0190665124993046,0.60293606533872,0.0134888063719667,0.904,0.00931579304192617,0.902,0.00940191469861325,0.736141479392882,0.0164688603796248,NA,NA
"bayes_adjv2","0.5","n = 100",5,NA,0,0.002,0.002,0.002,998,998,-0.0117576765103414,0.0207463109759173,0.655399572986775,0.0146772123314029,0.891783567134269,0.00983356672793415,0.892785571142285,0.00979343237776752,0.797152020227102,0.0178516586575745,NA,NA
"bayes_adjv2","0.5","n = 250",1,0,0,0,0,0,1000,1000,0.0453204467047535,0.0242043538577946,0.765408874833141,0.0171236267019605,0.905,0.00927227048785787,0.909,0.00909499862561837,0.594373710667832,0.0132972504991581,NA,NA
"bayes_adjv2","0.5","n = 250",2,0,0,0,0,0,1000,1000,0.0355224195688964,0.0245272137077314,0.775618599741347,0.0173520373251009,0.918,0.00867617427210864,0.917,0.00872416185085994,0.628970016219185,0.0140712344977856,NA,NA
"bayes_adjv2","0.5","n = 250",3,NA,0,0.009,0.009,0.009,991,991,0.0985840847293737,0.0281971575636091,0.887650819531529,0.0199484686814514,0.892028254288597,0.00985842506398025,0.890010090817356,0.00993887113791614,0.721738215215995,0.016219860181103,NA,NA
"bayes_adjv2","0.5","n = 250",4,0,0,0,0,0,1000,1000,-0.0137006242247827,0.0123064516728513,0.389164172009994,0.00870632968389531,0.861,0.0109397897603199,0.86,0.0109726933794762,0.371588293750458,0.00831312444657557,NA,NA
"bayes_adjv2","0.5","n = 250",5,NA,0,0.009,0.009,0.009,991,991,-0.0281608127708594,0.0127763583354666,0.402201708506316,0.0090388112185813,0.884964682139253,0.0101354197797839,0.884964682139253,0.0101354197797839,0.413248153153992,0.00928706160065368,NA,NA
"bayes_adjv2","0.5","n = 500",1,0,0,0,0,0,1000,1000,0.0121903528043719,0.0178924136530218,0.565807799814425,0.0126581776977592,0.869,0.0106695360723885,0.871,0.0105999528300837,0.628270273742808,0.0140555799511153,NA,NA
"bayes_adjv2","0.5","n = 500",2,0,0,0,0,0,1000,1000,-0.00251073260474144,0.0185825184656903,0.58763083013719,0.0131463996625673,0.887,0.0100115433375679,0.886,0.0100500746265886,0.650753479523213,0.0145585712744533,NA,NA
"bayes_adjv2","0.5","n = 500",3,NA,0,0.016,0.016,0.016,984,984,0.0102435818693048,0.0203102070519458,0.637106300647721,0.0143687882031779,0.878048780487805,0.0104316941801012,0.879065040650406,0.0103941477708772,0.649775674604398,0.0146545231752937,NA,NA
"bayes_adjv2","0.5","n = 500",4,0,0,0,0,0,1000,1000,-0.00892981652868707,0.00859873357890922,0.271915831023243,0.00608326521666011,0.866,0.0107723720693262,0.861,0.0109397897603199,0.24312077565996,0.00543906602441708,NA,NA
"bayes_adjv2","0.5","n = 500",5,NA,0,0.012,0.012,0.012,988,988,-0.015437395623598,0.0096845703895982,0.304409941998466,0.00685149362824982,0.862348178137652,0.0109610922964964,0.86336032388664,0.0109271268056946,0.26135800479874,0.00588250401026547,NA,NA
"bayes_adjv2","0.9","n = 100",1,0,0,0,0,0,1000,1000,0.202360186659101,0.0485836421783039,1.53634966310065,0.0343710126438675,0.9,0.00948683298050514,0.899,0.00952885092757778,1.99734988364368,0.044684448959616,NA,NA
"bayes_adjv2","0.9","n = 100",2,0,0,0,0,0,1000,1000,0.28781645893623,0.0510140775963824,1.61320677937136,0.0360904499429135,0.909,0.00909499862561837,0.9,0.00948683298050514,1.9558030223511,0.0437549680418945,NA,NA
"bayes_adjv2","0.9","n = 100",3,NA,0,0.004,0.004,0.004,996,996,0.464679795323607,0.0765072768825458,2.41452893176259,0.0541259928005252,0.89859437751004,0.009564960853128,0.914658634538153,0.00885277942893781,4.50741481865863,0.101041780371463,NA,NA
"bayes_adjv2","0.9","n = 100",4,0,0,0,0,0,1000,1000,-0.0435227376696259,0.0242499335764557,0.76685023209393,0.0171558725570707,0.89,0.00989444288477123,0.89,0.00989444288477123,1.31867444689922,0.0295012113297472,NA,NA
"bayes_adjv2","0.9","n = 100",5,NA,0,0.002,0.002,0.002,998,998,-0.103936969690045,0.0366532312903301,1.15791728776039,0.0259307430079825,0.865731462925852,0.0107922863154173,0.860721442885772,0.010959939835821,2.16752896700449,0.0485402862534873,NA,NA
"bayes_adjv2","0.9","n = 250",1,0,0,0,0,0,1000,1000,0.134658966261823,0.0335164897071099,1.05988446648057,0.0237115959168574,0.884,0.0101264011376204,0.885,0.0100883596287999,0.915713049987599,0.0204862119445893,NA,NA
"bayes_adjv2","0.9","n = 250",2,0,0,0,0,0,1000,1000,0.0779544091379495,0.0352787570856794,1.11561225410551,0.0249583306537959,0.892,0.00981509042240569,0.885,0.0100883596287999,1.03310831807039,0.0231125634454973,NA,NA
"bayes_adjv2","0.9","n = 250",3,NA,0,0.009,0.009,0.009,991,991,0.0990031251432108,0.0496542560075933,1.56312355027061,0.0351285894201834,0.906155398587286,0.00926337319473351,0.903128153380424,0.00939586249582515,1.99767865910209,0.0448944892404127,NA,NA
